"","id","Year","fullCit","count","Source"
"58","Winerip_1987",1987,"Holiday Pageant: The Importance of Being Bluebell / Michael Winerip. -- 1987",9,"Primary Works"
"59","Ade_1963",1963,"Ade, George. Chicago Stories. Edited by Franklin J. Meine; illustrated by John T. McCutcheon and others. Chicago: Henry Regnery, 1963. Selected journalism from early in the century.",2,"Primary Works"
"60","Baker_1908",1908,"Baker, Ray Stannard. Following the Color Line. New York: Harper Torchbooks, 1964. Originally published by Doubleday, Page & Co. in 1908.",1,"Primary Works"
"61","Banks_2003",2003,"Banks, Elizabeth L. Campaigns of Curiosity: Journalistic Adventures of an American Girl in Late Victorian London. Introduction by Mary Suzanne Schriber and Abbey Zink. (Orig. 1894, reprinted by University of Wisconsin Press, 2003.)",5,"Primary Works"
"62","Berkman_1912",1912,"Berkman, Alexander. Prison Memoirs of an Anarchist. Introduction by Hutchins Hapgood; new introduction by Paul Goodman. New York: Schocken Books, 1970. Originally published 1912.",1,"Primary Works"
"63","Borrow_1899",1899,"Borrow, George. The Bible in Spain. New York: G. P. Putnam's Sons, 1899.",3,"Primary Works"
"64","Borrow_1923",1923,"Borrow, George. The Zincali: An Account of the Gypsies of Spain. London: John Murray, 1923.",3,"Primary Works"
"65","Cahan_1985",1985,"Cahan, Abraham. Grandma Never Lived in America: The New Journalism of Abraham Cahan. Edited with an introduction by Moses Rischin. Bloomington: Indiana University Press, 1985.",11,"Primary Works"
"66","Crane_1973",1973,"Crane, Stephen. Tales, Sketches, and Reports, Vol. 7 of The Works of Stephen Crane, edited by Fredson Bowers. Charlottesville: University Press of Virginia, 1973.",2,"Primary Works"
"67","Davis_1916",1916,"Davis, Richard Harding. The Red Cross Girl. New York: Charles Scribner's Sons, 1916.",1,"Primary Works"
"68","Davis_1897",1897,"Davis, Richard Harding. A Year from a Reporter's Note-Book. New York: Harper & Brothers, 1897. ",1,"Primary Works"
"69","Dreiser_1985",1985,"Dreiser, Theodore. Selected Magazine Articles of Theodore Dreiser: Life and Art in the American 1890s. Edited, with an introduction and notes, by Yoshinobu Hakutani. Rutherford, Madison, Teaneck: Fairleigh Dickinson University Press, 1985.",11,"Primary Works"
"70","Du_1903",1903,"Du Bois, W. E. B. The Souls of Black Folk, edited by Saunders Redding. New York: Fawcett, 1961. Originally published in 1903.",3,"Primary Works"
"71","Du_1986",1986,"Du Bois, W. E. B. W E. B. DuBois: Writings, edited by Nathan Huggins. New York: The Library of America, 1986.",7,"Primary Works"
"72","Dunne_1943",1943,"Dunne, Finley Peter. Mr. Dooley at His Best. Edited by Elmer Ellis. New York: Scribner's, 1943.",4,"Primary Works"
"73","Durland_1907",1907,"Durland, Kellogg. The Red Reign: The True Story of an Adventurous Year in Russia. New York: The Century Co., 1907.",2,"Primary Works"
"74","Finerty_1890",1890,"Finerty, John F. War-Path and Bivouac or The Conquest of the Sioux. Norman and London: University of Oklahoma Press, 1994; originally published 1890.",2,"Primary Works"
"75","Flynt_1899",1899,"Flynt, Josiah. Tramping with Tramps: Studies and Sketches of Vagabond Life. New York: The Century Co., 1899.",3,"Primary Works"
"76","Hapgood_1902",1902,"Hapgood, Hutchins. An Anarchist Woman. New York: Duffield & Co., 1909. ——. The Spirit of the Ghetto: Studies of the Jewish Quarter in New York. Introduction by Moses Rischin. Cambridge: Harvard University Press, 1967. Originally published in 1902.",2,"Primary Works"
"77","Hapgood_1907",1907,"Hapgood, Hutchins. The Spirit of Labor. New York: Duffield & Co., 1907.",2,"Primary Works"
"78","Hapgood_1910",1910,"Hapgood, Hutchins. Types from City Streets. New York and London: Funk & Wagnalls Co., 1910. Magazine articles and sketches.",1,"Primary Works"
"79","Hearn_1924",1924,"Hearn, Lafcadio. Creole Sketches. Edited by Charles Woodward Hutson. Bostonand New York: Houghton Mifflin, 1924.",1,"Primary Works"
"80","Hearn_1884",1884,"Hearn, Lafcadio. Fantastics and Other Fancies. Boston and New York: Houghton Mifflin,1914. New Orleans newspaper articles, 1879-1884.",1,"Primary Works"
"81","Lange_1939",1939,"Lange, Dorothea and Paul S. Taylor. An American Exodus: A Record of Human Erosion. New York: Reynal & Hitchcock, 1939.",3,"Primary Works"
"82","London_1979",1979,"London, Jack. Jack London on the Road: The Tramp Diary and Other Hobo Writings. Edited by Richard W. Etulain. Logan, Utah: Utah State University Press, 1979.",7,"Primary Works"
"83","London_1903",1903,"London, Jack. The People of the Abyss. New York: Grosset & Dunlap, 1903.",3,"Primary Works"
"84","London_1975",1975,"London, Jack. The Road. New York: The Macmillan Co., 1907. Reed, John. Adventures of a Young Man: Short Stories from Life. San Francisco: City Lights Books, 1975.",2,"Primary Works"
"85","London_1955",1955,"London, Jack. The Education of John Reed. With an introductory essay by John Stuart. New York: International Publishers, 1955.",1,"Primary Works"
"86","London_1914",1914,"London, Jack. Insurgent Mexico. New York: International Publishers, 1969. First published 1914.",1,"Primary Works"
"87","Riis_1890",1890,"Riis, Jacob A. How the Other Half Lives: Studies Among the Tenements of New York. New York: Charles Scribner’s Sons, 1890.",2,"Primary Works"
"88","Schuyler_1877",1877,"Schuyler, Eugene. Turkistan: Notes of a Journey in Russian Turkistan, Kokand, Bukhara and Kuldja. Edited and with an introduction by Geoffrey Wheeler; abridged by K. E. West. New York, Washington: Frederick A. Praeger, 1966. Originally published in two volumes, New York: Scribner, Armstrong & Co., 1877.",1,"Primary Works"
"89","Turgenev_1852",1852,"Turgenev, Ivan. A Sportsman's Notebook. New York: Viking, 1950. Originally published 1852.",1,"Primary Works"
"90","Twain_1961",1961,"Twain, Mark. The Complete Humorous Sketches and Tales of Mark Twain. Edited, and with an introduction, by Charles Neider. Garden City, N.Y.: Doubleday & Co., 1961.",4,"Primary Works"
"91","Twain_1979",1979,"Twain, Mark. Early Tales & Sketches. Vols. 1 (1851-1864) and 2 (1864-1865). Edited by Edgar Marquess Branch and Robert H. Hirst with the assistance of Harriet Elinor Smith. Berkeley, Los Angeles: University of California Press, 1979.",7,"Primary Works"
"92","Twain_1869",1869,"Twain, Mark. Innocents Abroad: or, The New Pilgrim's Progress. New York: Signet Classics, 1966; originally published 1869.",1,"Primary Works"
"93","Twain_1883",1883,"Twain, Mark. Life on the Mississippi. New York: New American Library, 1980. Originally published 1883.",1,"Primary Works"
"94","Twain_1871",1871,"Twain, Mark. Roughing It. Hartford, Conn.: American Publishing Co., 1895; originally published 1871.",1,"Primary Works"
"95","West_1982",1982,"West, Rebecca. The Young Rebecca: Writings of Rebecca West 1911–17. Selected and introduced by Jane Marcus. New York: Viking, 1982.",5,"Primary Works"
"96","Wyckoff_1901",1901,"Wyckoff, Walter A. A Day with a Tramp, and Other Days. New York: Benjamin Blom Inc., 1971; originally published 1901.",1,"Primary Works"
"97","Adamic_1938",1938,"Adamic, Louis. My America 1928-1938. New York: Harper & Brothers, 1938. ",5,"Primary Works"
"98","Ade_1931",1931,"Ade, George. The Old Time Saloon. New York: R. Long & R. R. Smith, 1931. ",2,"Primary Works"
"99","Agee_1985",1985,"Agee, James. James Agee: Selected Journalism. Edited, with an introduction, by Paul Ashdown. Knoxville: University of Tennessee Press, 1985. ",11,"Primary Works"
"100","Agee_1941",1941,"Agee, James. Let Us Now Praise Famous Men. Photos by Walker Evans, with an introduction by John Hersey. Boston: Houghton Mifflin, 1988. Originally published in 1941.",4,"Primary Works"
"101","Berger_1942",1942,"Berger, Meyer. The Eight Million: Journal of a New York Correspondent. New York: Columbia University Press, 1983. Originally published by Simon and Schuster, 1942.",3,"Primary Works"
"102","Berger_1960",1960,"Berger, Meyer. Meyer Berger’s New York. New York: Random House, 1960.",5,"Primary Works"
"103","Bolitho_1930",1930,"Bolitho, William. Camera Obscura. New York: Simon and Schuster, 1930. ",1,"Primary Works"
"104","Caldwell_1937",1937,"Caldwell, Erskine, and Margaret Bourke-White. You Have Seen Their Faces. New York: Modern Age Books, 1937.",2,"Primary Works"
"105","Capote_1956",1956,"Capote, Truman. The Muses Are Heard. New York: Random House, 1956. ",2,"Primary Works"
"106","Dorr_1970",1970,"Dorr, Rheta Childe. Inside the Russian Revolution. New York: Macmillan Co., 1918. Reprinted by Arno Press in 1970.",4,"Primary Works"
"107","Dos_1934",1934,"Dos Passos, John. In All Countries. New York: Harcourt, Brace and Co., 1934. ",1,"Primary Works"
"108","Dos_1927",1927,"Dos Passos, John. Orient Express. New York: Harper & Brothers, 1922, 1927.",1,"Primary Works"
"109","Dos_1922",1922,"Dos Passos, John. Rosinante to the Road Again. New York: George H. Doran Co., 1922. ",3,"Primary Works"
"110","Dreiser_1923",1923,"Dreiser, Theodore. The Color of a Great City. New York: Boni and Liveright, 1923.",3,"Primary Works"
"111","Dos_1977",1977,"Dos Passos, John. Theodore Dreiser: A Selection of Uncollected Prose. Detroit: Wayne State University Press, 1977.",7,"Primary Works"
