"","Full Citation","Source","Year","Author Last Name","Author First Name","Title","Type","`Full Citation` == `Full Citation`"
"18","Bissinger, H. G. A Prayer for the City. New York: Random House, 1997.  ","Sims - True Stories",1997,"Bissinger","H","G","Primary Works",TRUE
"19","Bissinger, H. G. Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager. Boston and New York: Houghton Mifflin Co., 2005.","Sims - True Stories",2005,"Bissinger","H","G","Primary Works",TRUE
"20","Blais, Madeleine. In These Girls, Hope Is a Muscle. New York: Atlantic Monthly Press, 1995. ","Sims - True Stories",1995,"Blais","Madeleine","In These Girls, Hope Is a Muscle","Primary Works",TRUE
"21","Blais, Madeleine. The Heart Is an Instrument: Portraits in Journalism. Foreword by Geneva Overholser. Amherst: University of Massachusetts Press, 1992.","Sims - True Stories",1992,"Blais","Madeleine","The Heart Is an Instrument: Portraits in Journalism","Primary Works",TRUE
"22","Bolitho, William. Camera Obscura. New York: Simon and Schuster, 1930. ","Sims - True Stories",1930,"Bolitho","William","Camera Obscura","Primary Works",TRUE
"23","Booth, Stanley. The True Adventures of the Rolling Stones. Chicago: A Cappella Books, 2000. Originally published as Dance with the Devil in 1984. Bowden, Mark. Black Hawk Down: A Story of Modern War. New York: Atlantic Monthly Press, 1999.","Sims - True Stories",1999,"Booth","Stanley","The True Adventures of the Rolling Stones","Primary Works",TRUE
"24","Borrow, George. The Bible in Spain. New York: G. P. Putnam's Sons, 1899.","Sims - True Stories",1899,"Borrow","George","The Bible in Spain","Primary Works",TRUE
"25","Borrow, George. The Zincali: An Account of the Gypsies of Spain. London: John Murray, 1923.","Sims - True Stories",1923,"Borrow","George","The Zincali: An Account of the Gypsies of Spain","Primary Works",TRUE
"26","Breslin, Jimmy. A Wolverine Is Eating My Leg. New York: Vintage, 1989.","Sims - True Stories",1989,"Breslin","Jimmy","A Wolverine Is Eating My Leg","Primary Works",TRUE
"27","Breslin, Jimmy. Lost in My Own Backyard: A Walk in Yellowstone National Park. New York: Crown Publishers, 2004.","Sims - True Stories",2004,"Breslin","Jimmy","Lost in My Own Backyard: A Walk in Yellowstone National Park","Primary Works",TRUE
"28","Breslin, Jimmy. The World of Jimmy Breslin. New York: Viking, 1967. ","Sims - True Stories",1967,"Breslin","Jimmy","The World of Jimmy Breslin","Primary Works",TRUE
"29","Bryan, C. D. B. Friendly Fire. New York: G. P. Putnam’s Sons, 1976. ","Sims - True Stories",1976,"Bryan","C","D","Primary Works",TRUE
"30","Buford, Bill. Among the Thugs. New York: W. W. Norton, 1992. ","Sims - True Stories",1992,"Buford","Bill","Among the Thugs","Primary Works",TRUE
"31","Cahan, Abraham. Grandma Never Lived in America: The New Journalism of Abraham Cahan. Edited with an introduction by Moses Rischin. Bloomington: Indiana University Press, 1985.","Sims - True Stories",1985,"Cahan","Abraham","Grandma Never Lived in America: The New Journalism of Abraham Cahan","Primary Works",TRUE
"32","Cahill, Tim. Jaguars Ripped My Flesh: Adventure Is A Risky Business. Toronto: New York, Bantam Books, 1987.","Sims - True Stories",1987,"Cahill","Tim","Jaguars Ripped My Flesh: Adventure Is A Risky Business","Primary Works",TRUE
"33","Caldwell, Erskine, and Margaret Bourke-White. You Have Seen Their Faces. New York: Modern Age Books, 1937.","Sims - True Stories",1937,"Caldwell","Erskine","You Have Seen Their Faces","Primary Works",TRUE
"34","Capote, Truman. In Cold Blood. New York: Random House, 1965.","Sims - True Stories",1965,"Capote","Truman","In Cold Blood","Primary Works",TRUE
"35","Capote, Truman. The Muses Are Heard. New York: Random House, 1956. ","Sims - True Stories",1956,"Capote","Truman","The Muses Are Heard","Primary Works",TRUE
"36","Carr, Cynthia. On Edge: Performance at the End of the Twentieth Century. Hanover, N.H.: University Press of New England, 1993.","Sims - True Stories",1993,"Carr","Cynthia","On Edge: Performance at the End of the Twentieth Century","Primary Works",TRUE
"37","Conaway, James. Napa: The Story of an American Eden. Boston and New York: Houghton Mifflin, 1990.","Sims - True Stories",1990,"Conaway","James","Napa: The Story of an American Eden","Primary Works",TRUE
"38","Conaway, James. The Texans. New York: Alfred A. Knopf, 1976.","Sims - True Stories",1976,"Conaway","James","The Texans","Primary Works",TRUE
"39","Conover, Ted. Coyotes: A Journey through the Secret World of America's Illegal Aliens. New York: Vintage Books, 1987.","Sims - True Stories",1987,"Conover","Ted","Coyotes: A Journey through the Secret World of America's Illegal Aliens","Primary Works",TRUE
"40","Conover, Ted. NewJack: Guarding Sing Sing. New York: Random House, 2000. ","Sims - True Stories",2000,"Conover","Ted","NewJack: Guarding Sing Sing","Primary Works",TRUE
